"approach","parameter","truth","mean_est","bias","rmse","mae","sd_est","coverage","ci_width","n_ok","dep_type","dep_par","k_true","n","r","r_label","n_exc","n_exc_nom","S","m","sigma","p_thresh","threshold","cred_mass","interval","seed","secs"
"Cluster maxima (POT)","zm",3.0564729933441,2.57720692646221,-0.479266066881891,5.83715034120206,1.55584908400994,5.81773261195505,0.1192,1.57175543840308,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Conventional","k",-0.3,-0.51412696395792,-0.21412696395792,0.308648042417923,0.249821109581927,0.222302045007465,0.2738,0.179319656323111,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Weighted GPD","k",-0.3,-0.265540739323752,0.0344592606762475,0.515690428739173,0.372376439767198,0.514563557991003,0.3912,0.378748816239561,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Cluster maxima (POT)","k",-0.3,-1.18084203661752,-0.880842036617518,1.36697675756366,1.18992213972145,1.04539564158815,0.0887,0.160489048705365,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Conventional","sigma",0.479489841441593,0.222570371950481,-0.256919469491111,0.303002633925161,0.269665742565413,0.127971152096335,NA,NA,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Weighted GPD","sigma",0.479489841441593,0.189021771934271,-0.290468069507322,0.348027650287543,0.319015098053827,0.16306060263802,NA,NA,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Cluster maxima (POT)","sigma",0.479489841441593,0.499040535054888,0.0195506936132959,0.354912400829819,0.281601426263351,0.364566778835242,NA,NA,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Conventional","zm",2.99247827247882,2.11833783977506,-0.874140432703763,0.952196369546249,0.875735598246947,0.377585337583771,0.0027,0.0536342753179683,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Weighted GPD","zm",2.99247827247882,2.4347630209836,-0.557715251495223,1.51263826471028,0.92288139245512,1.40613866340038,0.1157,0.481346995708243,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
"Cluster maxima (POT)","zm",2.99247827247882,2.42953087824435,-0.562947394234472,2.13204557793334,0.974852903798181,2.05648522748373,0.0856,0.387690927181146,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,2000,1,0.95,"empirical",0.95,"eti",244875,301.525257110596
